Date,Time,Location,Weather,Name from Notes,Common Name,Seen/Heard,Count,Male/Female,Comments,Scientific Name,eBird URL
,,,,purple rumped sunbird,Purple-rumped Sunbird,,,,,Leptocoma zeylonica,"=HYPERLINK(""https://ebird.org/species/pursun3?siteLanguage=en_IN"", ""Purple-rumped Sunbird"")"
,,,,grey shrike,Great Grey Shrike,,,,,Lanius excubitor,"=HYPERLINK(""https://ebird.org/species/norshr1?siteLanguage=en_IN"", ""Great Grey Shrike"")"
,,,,spotted dove,Spotted Dove,,,,,Spilopelia chinensis,"=HYPERLINK(""https://ebird.org/species/spodov?siteLanguage=en_IN"", ""Spotted Dove"")"
,,,,Rose Ringed Parakeet,Rose-ringed Parakeet,,,,,Psittacula krameri,"=HYPERLINK(""https://ebird.org/species/rorpar?siteLanguage=en_IN"", ""Rose-ringed Parakeet"")"
,,,,White Headed Babbler,Yellow-billed Babbler,,,,,Argya affinis,"=HYPERLINK(""https://ebird.org/species/yebbab1?siteLanguage=en_IN"", ""Yellow-billed Babbler"")"
,,,,white breasted kingfisher,White-throated Kingfisher,,,,,Halcyon smyrnensis,"=HYPERLINK(""https://ebird.org/species/whtkin2?siteLanguage=en_IN"", ""White-throated Kingfisher"")"
,,,,golden backed woodpecker,Black-rumped Flameback (Lesser Goldenbacked Woodpecker),heard,,,,Dinopium benghalense,"=HYPERLINK(""https://ebird.org/species/bkrfla1?siteLanguage=en_IN"", ""Black-rumped Flameback (Lesser Goldenbacked Woodpecker)"")"
,,,,White breasted water hen,White-breasted Waterhen,,,,,Amaurornis phoenicurus,"=HYPERLINK(""https://ebird.org/species/whbwat1?siteLanguage=en_IN"", ""White-breasted Waterhen"")"
,,,,dove,Asian Emerald Dove,,,,,Chalcophaps indica,"=HYPERLINK(""https://ebird.org/species/emedov2?siteLanguage=en_IN"", ""Asian Emerald Dove"")"
,,,,egeret,Intermediate Egret (Medium Egret),,,,,Ardea intermedia,"=HYPERLINK(""https://ebird.org/species/integr1?siteLanguage=en_IN"", ""Intermediate Egret (Medium Egret)"")"
,,,,dabchick,Little Grebe,,7+1+1,,,Tachybaptus ruficollis,"=HYPERLINK(""https://ebird.org/species/litgre1?siteLanguage=en_IN"", ""Little Grebe"")"
,,,,Common bee eater,Asian Green Bee-eater,,,,,Merops orientalis,"=HYPERLINK(""https://ebird.org/species/grnbee3?siteLanguage=en_IN"", ""Asian Green Bee-eater"")"
,,,,Red wattled Lapwing,Red-wattled Lapwing,,,,,Vanellus indicus,"=HYPERLINK(""https://ebird.org/species/rewlap1?siteLanguage=en_IN"", ""Red-wattled Lapwing"")"
,,,,small blue kingfisher,Common Kingfisher (Small Blue Kingfisher),,,,,Alcedo atthis,"=HYPERLINK(""https://ebird.org/species/comkin1?siteLanguage=en_IN"", ""Common Kingfisher (Small Blue Kingfisher)"")"
,,,,Warbler,Blyth's Reed Warbler,,,,,Acrocephalus dumetorum,"=HYPERLINK(""https://ebird.org/species/blrwar1?siteLanguage=en_IN"", ""Blyth's Reed Warbler"")"
,,,,white browed bulbul,White-browed Bulbul,,,,,Pycnonotus luteolus,"=HYPERLINK(""https://ebird.org/species/whbbul2?siteLanguage=en_IN"", ""White-browed Bulbul"")"
,,,,pied kingfisher,Pied Kingfisher,,,,,Ceryle rudis,"=HYPERLINK(""https://ebird.org/species/piekin1?siteLanguage=en_IN"", ""Pied Kingfisher"")"
,,,,blue rock pigeon,Rock Pigeon (Blue Rock Pigeon),,,,,Columba livia,"=HYPERLINK(""https://ebird.org/species/rocpig?siteLanguage=en_IN"", ""Rock Pigeon (Blue Rock Pigeon)"")"
,,,,common myna,Common Myna,,,,,Acridotheres tristis,"=HYPERLINK(""https://ebird.org/species/commyn?siteLanguage=en_IN"", ""Common Myna"")"
,,,,coucal,Greater Coucal,,,,,Centropus sinensis,"=HYPERLINK(""https://ebird.org/species/grecou1?siteLanguage=en_IN"", ""Greater Coucal"")"
,,,,spotted munia,Scaly-breasted Munia (Spotted Munia),,,,,Lonchura punctulata,"=HYPERLINK(""https://ebird.org/species/nutman?siteLanguage=en_IN"", ""Scaly-breasted Munia (Spotted Munia)"")"
,,,,swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,taylor bird,Common Tailorbird,,,,,Orthotomus sutorius,"=HYPERLINK(""https://ebird.org/species/comtai1?siteLanguage=en_IN"", ""Common Tailorbird"")"
,,,,house crow,House Crow,,,,,Corvus splendens,"=HYPERLINK(""https://ebird.org/species/houcro1?siteLanguage=en_IN"", ""House Crow"")"
,,,,jungle crow,Large-billed Crow (Indian Jungle),,,,,Corvus macrorhynchos culminatus,
,,,,Pariah kite,Black Kite,,,,,Milvus migrans,"=HYPERLINK(""https://ebird.org/species/blakit1?siteLanguage=en_IN"", ""Black Kite"")"
,4:20 pm – 6:00 pm,,Clear Sky,red whiskered bulbul,Red-whiskered Bulbul,,,,Pair,Pycnonotus jocosus,"=HYPERLINK(""https://ebird.org/species/rewbul?siteLanguage=en_IN"", ""Red-whiskered Bulbul"")"
,,,,White Headed Babbler,Yellow-billed Babbler,,,,,Argya affinis,"=HYPERLINK(""https://ebird.org/species/yebbab1?siteLanguage=en_IN"", ""Yellow-billed Babbler"")"
,,,,purple rumped sunbird,Purple-rumped Sunbird,,,,,Leptocoma zeylonica,"=HYPERLINK(""https://ebird.org/species/pursun3?siteLanguage=en_IN"", ""Purple-rumped Sunbird"")"
,,,,koel,Asian Koel,,,,,Eudynamys scolopaceus,"=HYPERLINK(""https://ebird.org/species/asikoe2?siteLanguage=en_IN"", ""Asian Koel"")"
,,,,Coucal,Greater Coucal,heard,,,,Centropus sinensis,"=HYPERLINK(""https://ebird.org/species/grecou1?siteLanguage=en_IN"", ""Greater Coucal"")"
,,,,spotted dove,Spotted Dove,,,,,Spilopelia chinensis,"=HYPERLINK(""https://ebird.org/species/spodov?siteLanguage=en_IN"", ""Spotted Dove"")"
