Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name,name,id
,,,,singing bush lark,,,,,Singing Bush Lark,Singing Bushlark - Mirafra javanica,sinbus6
,,,,Black Drongo,,,,,Black Drongo,Black Drongo - Dicrurus macrocercus,bladro1
,,,,reed warbler,,,,,Reed Warbler,Blyth's Reed Warbler - Acrocephalus dumetorum,blrwar1
,,,,myna,,,,,Myna,Common Myna - Acridotheres tristis,commyn
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,bush chat,,,,,Bush Chat,Pied Bushchat - Saxicola caprata,piebus1
,,,,ashy crowned finch lark,,,,,Ashy-crowned finch lark,Ashy-crowned Sparrow-Lark (Ashy-crowned Finch-Lark) - Eremopterix griseus,ascspl1
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
,,,,purple sunbird,,,,,Purple Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,roufous backed shrike,,,,,Rufous-backed Shrike,Long-tailed Shrike - Lanius schach,lotshr1
,,,,black winged kite,,,,,Black-winged kite,Black-winged Kite (Black-shouldered Kite) - Elanus caeruleus,bkskit1
14-2-98,4:45 pm - ,,"Clear Sky, Sunny",hair creasted drongo,seen,,,,Hair-crested Drongo,Hair-crested Drongo (Spangled Drongo) - Dicrurus hottentottus,hacdro1
,,,,green reed warbler,seen,,,,green reed warbler,,
,,,,railor bird,seen,,,,Railor Bird,Common Tailorbird - Orthotomus sutorius,comtai1
,,,,greenish leaf warbler,seen,,,,greenish leaf warbler,Greenish Warbler - Phylloscopus trochiloides,grewar3
,,,,purple rumped sunbird,seen,,,,Purple-rumped Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,shikra,seen,,,,Shikra,Shikra - Accipiter badius,shikra1
,,,,coppersmith,heard,,,,Coppersmith,Coppersmith Barbet - Psilopogon haemacephalus,copbar1
,,,,white browed bulbul,heard,,,,White-browed Bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
,,,,little brown dove,heard,,,,Little Brown Dove,Laughing Dove (Little Brown Dove) - Spilopelia senegalensis,laudov1
20-6-98,4:30 pm – 6:00 pm,,Cloudy Sky,red vented bulbul,seen,,,,Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
,,,,spotted dove,seen,,,,Spotted Dove,Spotted Dove - Spilopelia chinensis,spodov
,,,,red whiskered bulbul,seen,,,,Red-whiskered Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
,,,,pariah kite,seen,,,,Pariah Kite,Black Kite - Milvus migrans,blakit1
,,,,purple rumped sunbird,seen,,,,Purple-rumped Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,purple sunbird,seen,,,,Purple Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
